course,branch,category,cutoff_rank
ENGG,CS Computers,2AH,81686
ENGG,Intelligence,2AH,19489
ENGG,CE Civil,2AH,129618
ENGG,CS Computers,2AH,15969
ENGG,EC Electronics,2AH,20629
ENGG,CS Computers,2AH,98630
ENGG,IE Info.Science,2AH,96721
ENGG,BB B Tech in EC,2AH,113013
ENGG,BG B Tech in AD,2AH,96904
ENGG,BJ B Tech in EE,2AH,136677
ENGG,BP B Tech in CE,2AH,211729
ENGG,BW B Tech in CS,2AH,72984
ENGG,DB B Tech in ME,2AH,180389
ENGG,COMP.SCI. DESI.,2AH,128668
ENGG,Bus Sys.,2AH,91595
ENGG,CS Computers,2AH,57963
ENGG,EC Electronics,2AH,66998
ENGG,CS Computers,2AH,96957
ENGG,EC Electronics,2AH,111466
ENGG,ZU CYBER SECURITY,2AH,118687
ENGG,CS Computers,2AH,97204
ENGG,CS Computers,2AH,34517
ENGG,EC Electronics,2AH,59480
ENGG,CS Computers,2AH,83953
ENGG,CS Computers,2AH,90816
ENGG,EC Electronics,2AH,10543
ENGG,"CA CS (AI, MachineLearning)",2AH,17106
ENGG,CS Computers,2AH,11553
ENGG,CS Computers,2AH,98881
ENGG,Robot.,2AH,11509
ENGG,AM B Tech in AM,2AH,14402
ENGG,BB B Tech in EC,2AH,18841
ENGG,BW B Tech in CS,2AH,10993
ENGG,CS Computers,2AH,100517
ENGG,EC Electronics,2AH,140166
ENGG,Intelligence,2AH,135855
ENGG,CS Computers,2AH,125092
ENGG,CS Computers,2AH,42173
ENGG,EC Electronics,2AH,72580
ENGG,IE Info.Science,2AH,53886
ENGG,CS Computers,2AH,106099
ENGG,EC Electronics,2AH,138143
ENGG,IE Info.Science,2AH,148300
ENGG,CS Computers,2AH,89351
ENGG,IE Info.Science,2AH,117178
ENGG,Intelligence,2AH,37507
ENGG,CS Computers,2AH,30262
ENGG,EC Electronics,2AH,50618
ENGG,IE Info.Science,2AH,38137
ENGG,CS Computers,2AH,63185
ENGG,Data Sc.,2AH,90368
ENGG,EC Electronics,2AH,101821
ENGG,Intelligence,2AH,58672
ENGG,CS Computers,2AH,56277
ENGG,EC Electronics,2AH,73348
ENGG,IE Info.Science,2AH,95749
ENGG,EC Electronics,2AH,13644
ENGG,IE Info.Science,2AH,91461
ENGG,CS Computers,2AH,97328
ENGG,"IC CS-IoT, CyberSecurity",2AH,12651
ENGG,CE Civil,2AH,17945
ENGG,ME Mechanical,2AH,21683
ENGG,CS Computers,2AH,58551
ENGG,EC Electronics,2AH,82066
ENGG,ME Mechanical,2AH,22393
ENGG,CE Civil,2AH,19088
ENGG,CS Computers,2AH,72257
ENGG,CE Civil,2AH,19277
ENGG,EC Electronics,2AH,11092
ENGG,CS Computers,2AH,66402
ENGG,EC Electronics,2AH,83199
ENGG,IE Info.Science,2AH,83372
ENGG,CS Computers,2AH,12539
ENGG,"CA CS (AI, MachineLearning)",2AH,43907
ENGG,CS Computers,2AH,36615
ENGG,EC Electronics,2AH,49324
ENGG,CS Computers,2AH,93099
ENGG,EC Electronics,2AH,11517
ENGG,CE Civil,2AH,20256
ENGG,CS Computers,2AH,94967
ENGG,EC Electronics,2AH,12985
ENGG,ME Mechanical,2AH,26099
ENGG,CE Civil,2AH,18395
ENGG,CE Civil,2AH,23273
ENGG,CS Computers,2AH,97398
ENGG,EC Electronics,2AH,15722
ENGG,CS Computers,2AH,12373
ENGG,"IC CS-IoT, CyberSecurity",2AH,12792
ENGG,CE Civil,2AH,14969
ENGG,CS Computers,2AH,26004
ENGG,EC Electronics,2AH,34595
ENGG,CS Computers,2AH,68661
ENGG,EC Electronics,2AH,64973
ENGG,CS Computers,2AH,10647
ENGG,Intelligence,2AH,82400
ENGG,CS Computers,2AH,72106
ENGG,EC Electronics,2AH,11551
ENGG,CS Computers,2AH,81251
ENGG,EC Electronics,2AH,11187
ENGG,CS Computers,2AH,87237
ENGG,"IC CS-IoT, CyberSecurity",2AH,13276
