Unnamed: 0,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
GG BSC NURSINGOVT,--,--,--,21953,--,--,--,--,--,--,--,113119,80016,--,--,56542,--,0306,13003,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,81312,--,--,--,--,--,--,--,89682,95343,--,--,69680,--,76017,12267,--,--,28008,--,--
GG BSC NURSINGOVT,--,--,20167,12841,--,--,--,--,--,13677,--,--,--,--,--,04506,--,--,12303,--,--,18593,--,--
GG BSC NURSINGOVT,101074,--,--,05045,--,--,--,--,--,--,--,--,--,--,--,92118,--,--,10335,--,12735,--,14509,--
GG BSC NURSINGOVT,--,--,--,21965,2445,--,12324,--,--,--,--,--,--,--,--,14400,--,1779,--,127815,36128,--,--,--
GG BSC NURSINGOVT,139221,--,--,40816,--,--,--,--,--,--,--,--,41531,--,--,37435,--,3897,14104,--,--,52755,--,--
GG BSC NURSINGOVT,--,--,--,42846,--,--,--,--,--,13975,--,--,--,--,--,30913,--,4257,14272,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,92116,--,--,--,--,--,--,--,--,--,--,--,61688,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,39284,--,--,13577,--,--,14683,--,--,42662,--,--,30323,--,4088,14249,--,--,45881,--,--
GG BSC NURSINGOVT,--,--,22511,21610,--,--,--,--,--,--,--,--,75675,--,--,63635,--,96903,10393,--,--,26431,--,--
GG BSC NURSINGOVT,142003,--,--,37287,--,14374,14782,--,--,--,--,--,--,--,--,31477,--,139142,--,--,41231,32993,--,--
GG BSC NURSINGOVT,143506,--,--,43804,--,--,--,--,--,--,--,143160,--,--,--,38409,--,141344,41897,--,--,52932,--,--
GG BSC NURSINGOVT,--,--,--,44000,--,--,--,--,--,14819,--,--,--,--,--,37971,4008,142141,45377,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,22962,--,--,--,--,--,13501,--,--,2339,--,--,22473,--,--,29580,--,--,24575,--,--
GG BSC NURSINGOVT,127846,--,--,40952,--,--,14020,--,--,--,--,--,--,--,--,24841,--,125618,41963,--,--,--,--,4349
GG BSC NURSINGOVT,--,--,--,44830,--,--,--,--,--,15348,--,--,--,--,--,26339,--,--,46779,--,--,53893,--,--
GG BSC NURSINGOVT,--,--,--,94408,1809,12806,12576,--,--,10548,--,--,--,--,81222,78161,1632,--,29782,--,--,32841,--,--
GG BSC NURSINGOVT,--,--,--,41697,--,--,15114,--,--,--,--,--,4282,--,--,39205,4154,142900,43139,--,--,50660,--,--
GG BSC NURSINGOVT,--,--,--,33462,--,--,15188,--,--,--,--,--,2556,--,--,17624,--,122375,25442,--,--,50341,--,--
GG BSC NURSINGOVT,126030,--,--,30878,--,--,--,--,--,--,--,--,--,--,--,07135,--,--,20003,--,--,37269,--,--
GG BSC NURSINGOVT,--,--,--,31525,--,--,14514,--,--,13830,--,--,--,--,--,02237,--,--,32080,--,40021,--,--,--
GG BSC NURSINGOVT,--,--,--,31133,--,--,--,--,15608,--,--,--,--,--,--,28980,--,--,38961,--,45180,--,--,--
GG BSC NURSINGOVT,--,--,--,39126,--,--,--,--,15859,--,--,--,35619,--,--,22509,--,2879,133810,--,--,45259,--,4956
GG BSC NURSINGOVT,--,--,--,14543,--,--,12461,--,--,--,--,--,18700,--,--,07108,--,0731,121295,--,--,--,--,2734
GG BSC NURSINGOVT,--,--,--,06029,--,--,--,--,10589,--,--,123243,--,--,98836,97443,--,98537,119125,--,--,10107,--,1107
GG BSC NURSINGOVT,--,--,--,31117,--,--,--,--,--,--,15765,--,41944,--,--,14591,30256,2383,141191,--,41660,--,--,--
GG BSC NURSINGOVT,--,--,--,41144,--,--,--,--,16568,--,--,--,--,--,--,09714,--,--,--,--,31019,41958,--,--
GG BSC NURSINGOVT,--,--,--,16492,--,--,12141,--,--,--,--,--,--,--,--,07552,11264,1374,109115,14171,--,21518,--,2856
GG BSC NURSINGOVT,--,17465,--,18676,--,--,--,12504,--,--,--,--,--,--,--,08236,--,1150,117321,--,--,26381,--,--
